SKU,Description,Cost
SHD7B05995,HDD WUH722020BLN607 SATA HDD M1a AVAP, $275.03 
SSA7B76591,SP Intel SPR 8455C 48C/2.0G/325W M1 AR," $2,110.00 "
SSA7B97701,SP Intel EMR 8573C 52C/2.3G/385W M1 AR," $2,115.00 "
SM37B75603,MEMORY HMCG94AGBRA 64G 2RX4 5600 M1aAVAP, $315.09 
SSS7B64519,SSD KXDZFRJ97T68 XD7P E1.S 7.68T M1aAVAP, $801.64 
SHD7B71110,HDD ST24000NM010H 24T 3.5 M1aAVAP, $373.18 
SSS7B64320,SSD HFS960GDJ0X132N 960G M.2 M1aAVAP, $128.69 
SSS7B00300,SSD MZCLO1T9HCJR-00AMZ E1.S M1a AVAP, $246.88 
STA7B08587,"ECAT_TLA STRCNTRL,9500-8E", $212.06 
SHD7B32532,HDD ST20000NM016D 20T 3.5 SATA M1a AVAP, $275.03 
SN37B05973,NETWRK_CRD MCX565A-CDAI_C11 OCP3 M1aAVAP, $211.00 
SM17B93566,"MECH_ASM CHASSIS WELDMENT, 8U SHUTTLE"," $1,965.62 "
SM17B79550,"MECH_ASM ASSM, 3U UPPER SHUTTLE, AMD", $235.82 
SM17B83830,"MECH_ASM ASSY, WATERLOOP TLA Cobol"," $1,311.35 "
SM17B28785,"MECH_ASM NODE TRAY, ASSY", $81.27 
SM17B56268,"MECH_ASM 1 inch EPDM Hose, 2.3m", $832.53 
SM17A82682,MECH_ASM HDRC 42U Onyx Side Panel, $197.07 
SM17B77427,MECH_ASM SE360V2 VESA Brkt ASM, $249.22 
4PU7A90812,1U 12 C19/C13 60A 3P Delta PDU V2," $1,317.76 "
SM37B92028,MEMORY S M321R8GA0PB0-CWM 64G M1aAVAP, $315.09 
SSS7B64511,SSD KXDZFRJ91T92 XD7P E1.S 1.92T M1aAVAP, $246.88 
0000088Y6763,MECHANICAL Rack Kit Flex, $21.37 
SP57A86681,PWR_SUPPLY GW 2600W CFF v4 TT AC PSU, $202.30 
SM17B04135,"MECH_ASM TLA, ST650 v2 - 3.5"" chassis", $154.70 
SM17A82686,MECH_ASM HDRC 42U Onyx 180mm Ext kit, $255.53 
SM17B04136,"MECH_ASM TLA, ST650 v2 - 2.5"" chassis", $176.01 
SD37A15928,DOOR HDRC 42U Onyx Rear Door, $132.92 
SD37A15927,DOOR HDRC 42U Onyx Front Door, $132.92 
SSS7B01861,SSD S MZ1L2960HCJR-00AMV 1T M.2 M1a AVAP, $128.69 
SM37C13111,MEMORY M321R8GA0EB2-CWM 64G 2R M1aAVAP,  
SN37B04254,NETWRK_CRD NV CX7 NDR400 1-port Gen5," $1,111.00 "
SN37B36732,NETWRK_CRD NV BF-3 2Px200G DPU," $2,706.00 "
SN37B92105,NETWRK_CRD Nvda CX7 4P 25/10GbE OCP, $335.32 
SP17A33289,PACKAGING cushion,  
SP17A33290,PACKAGING cushion,  
SP17A33291,PACKAGING cushion,  
SP17A35628,"PACKAGING Label, Professional Movers",  
SP17A35852,PACKAGING Pallet 1200x1200 Block,  
SP17A43051,PACKAGING PE Fab Cushion,  
SP17A66130,PACKAGING Tray-18L,  
SP47B30292,PUBS DCG Regulatory Notices (Full), $1.55 
SP47B30293,PUBS DCG Regulatory Notices (Short), $2.77 
SP47B70292,PUBS ISG Regulatory Notices (Full), $1.04 
SP47B95550,PUBS ISG Regulatory Notices (Full),  
SP47C20910,PUBS ISG Regulatory Notices (Short),  
SP57B07039,PWR_SUPPLY AcBel 750W CFF v4 PT AC PSU, $56.35 
SPU7B21878,PDU D2034 48U 34kW Vertical PMDU-D," $2,679.00 "
SS17B79957,"SCREW SCREW, M3x0.5, COMBO HEX HEAD",  
SSA7A85924,SP ICX 4314 16C/2.4G/135W, $701.00 
SSA7B76174,SP INTEL SPR EE 4509Y 8C/2.6G/125W, $481.00 
SSA7C03086,SP INTEL 6960P 72C/2.7G/500W MC QS FOC," $3,468.00 "
SSG7A48102,SWITCH DCS-7060CX 100G PSI," $3,264.59 "
SSG7B06529,SWITCH NV QM9790 NDR IB UnMgd oPSE," $19,539.00 "
SSG7B08728,SWITCH NV SN2201 1GbE Mgd CMLS oPSE," $2,875.00 "
